id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.404737,-17.566494,-16.650578,162.04417,1.7131383,0.24138416,1.1774224,0.48279247
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.424737,-17.451588,-16.170395,162.06474,1.5304208,0.24708447,0.28501496,0.49416894
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.434737,-17.345259,-15.671959,162.07762,1.6585886,0.5098133,26.272882,0.5098133
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.444737,-17.243935,-15.163151,162.06395,1.9696143,0.5189784,0.9165101,0.5189784
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.454737,-17.13232,-14.6258545,161.9759,1.4798185,0.55578494,3.6806545,0.55578494
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.474737,-17.024164,-14.102543,161.9215,1.1387732,0.2685675,-14.360871,0.537135
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.484737,-16.91749,-13.581981,161.88342,0.9384463,0.53274226,26.417477,0.53274226
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.494737,-16.816725,-13.069911,161.84396,0.9247362,0.523379,-0.9363259,0.523379
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.514737,-16.720284,-12.600882,161.77412,0.8417108,0.24195385,-14.071259,0.4839077
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.554737,-16.634333,-12.144363,161.38127,0.73398066,0.1520958,-2.2464514,0.6083832
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.564737,-16.563354,-11.718082,160.78912,0.72954684,0.7330686,58.097275,0.7330686
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.574737,-16.625336,-11.301499,160.6099,0.721084,0.45772395,-27.53446,0.45772395
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.584737,-16.773783,-10.958239,160.6225,0.94765794,0.37419695,-8.352702,0.37419695
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.594737,-16.98439,-10.64065,160.71382,0.95846087,0.39186695,1.7670017,0.39186695
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.614737,-17.196527,-10.32192,160.39543,0.85920393,0.2489821,-7.144243,0.4979642
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.624738,-17.565624,-10.033103,160.41138,1.0616719,0.4688909,21.988682,0.46893778
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.634738,-18.013498,-9.757036,160.50606,1.4842799,0.5345708,6.567989,0.5345708
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.644738,-18.522078,-9.481964,160.60716,1.3856652,0.5869742,5.2403426,0.5869742
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.654738,-19.084038,-9.196447,160.71193,1.7426814,0.6389813,5.2007074,0.6389813
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.664738,-19.699553,-8.940027,161.1306,1.7992456,0.78733486,14.835355,0.78733486
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.674738,-20.370777,-8.697588,161.76317,2.0894504,0.95365703,16.632217,0.95365703
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.684738,-20.958023,-8.447954,161.92238,1.952343,0.6576635,-29.599352,0.6576635
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.714738,-21.602255,-8.173645,161.98965,1.5763551,0.2344753,-14.106274,0.7034259
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.724738,-22.266685,-7.895606,162.03539,1.5287186,0.72170955,48.723423,0.72170955
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.734738,-22.922401,-7.6385536,162.22865,1.4111636,0.73033595,0.86264277,0.73033595
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.744738,-23.547478,-7.3900094,162.34387,1.6987149,0.68247235,-4.7863617,0.68247235
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.754738,-24.153006,-7.1522093,162.40288,2.1275992,0.65321857,-2.9253795,0.65321857
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.774738,-24.794744,-6.9321036,162.4848,2.2882876,0.34168243,-15.576805,0.68336487
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.804738,-25.33289,-6.713384,161.907,1.4606555,0.2731085,-2.2857974,0.8193255
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.824738,-26.121838,-6.544512,161.9445,1.7553176,0.40384525,6.5368366,0.8076905
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.834738,-26.94452,-6.41115,162.08342,1.3800195,0.8449209,44.107563,0.8449209
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.844739,-27.787386,-6.311557,162.24681,1.1380402,0.86422426,1.9301437,0.8643107
