id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.073591,-34.34246,-57.673817,210.76259,1.884839,0.23223633,-39.672688,0.696709
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.083591,-33.973183,-57.65524,210.12943,2.0829098,0.73321766,50.098133,0.73321766
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.093591,-33.58728,-57.58191,209.23634,1.3083094,0.9756459,24.242826,0.9756459
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.123591,-33.327908,-57.578552,208.53853,1.4296755,0.24815594,-24.249666,0.74446785
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.143591,-33.13285,-57.635475,208.0165,1.6961423,0.28009292,1.5968486,0.56018585
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.153591,-33.03378,-57.78406,207.85048,1.8925651,0.24383207,-3.626084,0.24383207
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.183591,-32.980133,-57.775146,207.15454,1.6154946,0.23268557,-0.3715501,0.6980567
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.193591,-32.9884,-57.80582,206.60284,1.8650234,0.55262434,31.993876,0.55262434
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.233592,-33.016075,-57.839355,206.04747,1.1571774,0.13926263,-10.333783,0.5570645
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.263592,-33.020847,-57.841587,205.39438,1.0579643,0.2177027,2.6146686,0.6531081
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.293592,-32.97908,-57.79234,204.67285,1.1859666,0.24147484,0.7924046,0.7244245
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.303592,-32.943592,-57.754032,204.05252,1.0418044,0.62251425,38.10394,0.62251425
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.323592,-32.845013,-57.67919,203.33212,1.1469659,0.36548096,-12.851664,0.7309619
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.383592,-32.63282,-57.56019,202.51201,1.2065961,0.14257231,-3.7151442,0.85543394
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.393592,-32.363163,-57.413063,201.65898,1.2801882,0.9066466,76.40743,0.9066466
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.413592,-32.032753,-57.254272,200.75583,1.484309,0.48735684,-20.964489,0.9747137
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.423592,-31.681414,-57.15263,200.06477,1.2895207,0.7818762,29.451935,0.7818762
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.433592,-31.25579,-56.998535,199.2582,1.4500029,0.9249217,14.304552,0.9249217
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.453593,-30.749945,-56.84004,198.4788,1.6468022,0.47126213,-22.681845,0.9425714
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.463593,-30.22344,-56.69944,197.78326,1.2249945,0.88360804,41.23459,0.88360804
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.473593,-29.702446,-56.57897,197.20044,1.2386575,0.79096496,-9.264305,0.79096496
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.483593,-29.132555,-56.43533,196.50772,1.440148,0.90843964,11.747465,0.90843964
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.493593,-28.580585,-56.31327,195.92708,1.5442088,0.8103833,-9.805633,0.8103833
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.503593,-28.105404,-56.228546,195.53131,1.2807126,0.62418157,-18.620174,0.62418157
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.523593,-27.614107,-56.15722,195.14395,1.5898424,0.31484607,-15.466773,0.62969214
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.543593,-27.122755,-56.0868,194.7762,2.2411885,0.3088815,-0.2982287,0.617763
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.583593,-26.570274,-55.981102,194.28117,1.4808688,0.18732491,-3.038915,0.74929965
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.593593,-26.013313,-55.87472,193.7663,1.3173391,0.76590973,57.858482,0.76590973
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.603593,-25.541504,-55.80849,193.43355,1.3574487,0.5811367,-18.477304,0.5811367
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.633593,-25.035694,-55.691746,192.92941,1.5659709,0.24120638,-11.33101,0.72361916
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.663593,-24.53234,-55.55043,192.33392,0.8869692,0.26414284,0.7645487,0.79242855
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.673593,-24.054861,-55.39608,191.7186,0.9958737,0.7939923,52.984943,0.7939923
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.683594,-23.602983,-55.228218,191.05682,0.93732584,0.8186457,2.465097,0.81872755
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.693594,-23.188213,-55.082394,190.4887,0.9264109,0.7183831,-10.026263,0.7183831
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.773594,-22.766613,-54.83994,189.73862,1.0557282,0.111743815,-7.5829906,0.8939505
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.793594,-22.368923,-54.590813,188.98367,0.81559217,0.4444591,16.635765,0.8889182
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.803594,-22.043903,-54.3367,188.22163,0.759099,0.8665435,42.208435,0.8665435
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.813594,-21.736212,-54.101593,187.53319,0.7635125,0.7898826,-7.666089,0.7898826
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.853594,-21.350105,-53.81131,186.6313,0.89213777,0.2557745,-13.352702,1.023098
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.883594,-20.973797,-53.542942,185.82231,0.70575583,0.31057534,1.8266952,0.93172604
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.893594,-20.599625,-53.283466,185.05923,0.7616692,0.88860136,57.8026,0.88860136
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.903594,-20.245079,-53.080036,184.4976,0.7737194,0.6946275,-19.397383,0.6946275
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.913595,-19.848612,-52.848743,183.83655,0.97621113,0.8047034,11.006486,0.8047839
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.923595,-19.416248,-52.58239,183.03944,1.2901161,0.9451215,14.041812,0.9451215
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.933595,-19.017797,-52.405178,182.4434,1.497371,0.7385339,-20.65876,0.7385339
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.943595,-18.622696,-52.246746,181.88716,1.2688863,0.7004431,-3.8090842,0.7004431
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.953595,-18.216602,-52.114056,181.41785,1.5062926,0.63463837,-6.5804696,0.63463837
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.983595,-17.76213,-51.944656,180.82668,2.021815,0.25489137,-12.658235,0.7646741
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:29.993595,-17.331366,-51.776634,180.26645,2.4260373,0.7263914,47.149998,0.7263914
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:30.043595,-16.857843,-51.60414,179.66731,1.4118048,0.15658261,-11.396175,0.782913
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:30.053595,-16.365154,-51.43421,179.0508,1.601486,0.80728614,65.07035,0.80728614
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:30.063595,-15.832303,-51.215702,178.23781,1.3214831,0.9963044,18.901827,0.9963044
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:30.073595,-15.32533,-51.03333,177.55154,1.6416824,0.8724851,-12.381932,0.8724851
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:30.083595,-14.827117,-50.865078,176.8824,1.5815728,0.8510477,-2.1437397,0.8510477
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:30.093595,-14.340213,-50.67727,176.12154,1.5161537,0.92263573,7.1588016,0.92263573
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:30.113595,-13.845139,-50.50524,175.3622,1.231744,0.461326,-23.065485,0.922652
01GKDC18WKZCK4HZ806AAV3SC0,2022-12-04 01:29:30.123595,-13.36787,-50.34308,174.62645,1.3766493,0.8918591,43.05331,0.8918591
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:30.553597,-3.7566233,-45.625023,159.07481,2.4289536,0.6149178,3.0687237,0.6149178
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:30.563597,-3.4049747,-45.451584,158.78476,1.690331,0.4877111,-12.72067,0.4877111
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:30.573597,-3.0381832,-45.25087,158.4237,1.8654501,0.5524341,6.4723,0.5524341
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:30.583597,-2.6631618,-45.04175,158.03264,1.9788158,0.58078414,2.8350053,0.58078414
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:30.593598,-2.3088012,-44.844772,157.64882,1.1098394,0.55823815,-2.2543747,0.55829394
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:30.613598,-2.0014083,-44.680225,157.3025,1.2195274,0.24571185,-15.626314,0.4914237
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:30.623598,-1.7346724,-44.569748,157.12924,1.0726749,0.3367045,9.099265,0.3367045
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:30.633598,-1.4957733,-44.508068,157.10316,0.91678345,0.24810825,-8.859625,0.24810825
01GKDC1AGS7JZV6YEPX49PTADQ,2022-12-04 01:29:30.643598,-1.2500876,-44.410286,156.93414,0.91265327,0.3138263,6.5718045,0.3138263
